inference_index,sim_time,policy_id,cmd_x,cmd_y,cmd_yaw
153,13.480000,3,-0.000000,-0.000000,-0.000000
154,13.500000,3,-0.000000,-0.000000,-0.000000
155,13.520000,3,-0.000000,-0.000000,-0.000000
156,13.540000,3,-0.000000,-0.000000,-0.000000
157,13.560000,3,-0.000000,-0.000000,-0.000000
158,13.580000,3,-0.000000,-0.000000,-0.000000
159,13.600000,3,-0.000000,-0.000000,-0.000000
160,13.620000,3,-0.000000,-0.000000,-0.000000
161,13.640000,3,-0.000000,-0.000000,-0.000000
162,13.660000,3,-0.000000,-0.000000,-0.000000
163,13.680000,3,-0.000000,-0.000000,-0.000000
164,13.700000,3,-0.000000,-0.000000,-0.000000
165,13.720000,3,-0.000000,-0.000000,-0.000000
166,13.740000,3,-0.000000,-0.000000,-0.000000
167,13.760000,3,-0.000000,-0.000000,-0.000000
168,13.780000,3,-0.000000,-0.000000,-0.000000
169,13.800000,3,-0.000000,-0.000000,-0.000000
170,13.820000,3,-0.000000,-0.000000,-0.000000
171,13.840000,3,-0.000000,-0.000000,-0.000000
172,13.860000,3,-0.000000,-0.000000,-0.000000
173,13.880000,3,-0.000000,-0.000000,-0.000000
174,13.900000,3,-0.000000,-0.000000,-0.000000
175,13.920000,3,-0.000000,-0.000000,-0.000000
176,13.940000,3,-0.000000,-0.000000,-0.000000
177,13.960000,3,-0.000000,-0.000000,-0.000000
178,13.980000,3,-0.000000,-0.000000,-0.000000
179,14.000000,3,-0.000000,-0.000000,-0.000000
180,14.020000,3,-0.000000,-0.000000,-0.000000
181,14.040000,3,-0.000000,-0.000000,-0.000000
182,14.060000,3,-0.000000,-0.000000,-0.000000
183,14.080000,3,-0.000000,-0.000000,-0.000000
184,14.100000,3,-0.000000,-0.000000,-0.000000
185,14.120000,3,-0.000000,-0.000000,-0.000000
186,14.140000,3,-0.000000,-0.000000,-0.000000
187,14.160000,3,-0.000000,-0.000000,-0.000000
188,14.180000,3,-0.000000,-0.000000,-0.000000
189,14.200000,3,-0.000000,-0.000000,-0.000000
190,14.220000,3,-0.000000,-0.000000,-0.000000
191,14.240000,3,-0.000000,-0.000000,-0.000000
192,14.260000,3,-0.000000,-0.000000,-0.000000
193,14.280000,3,-0.000000,-0.000000,-0.000000
194,14.300000,3,-0.000000,-0.000000,-0.000000
195,14.320000,3,-0.000000,-0.000000,-0.000000
196,14.340000,3,-0.000000,-0.000000,-0.000000
197,14.360000,3,-0.000000,-0.000000,-0.000000
198,14.380000,3,-0.000000,-0.000000,-0.000000
199,14.400000,3,-0.000000,-0.000000,-0.000000
200,14.420000,3,-0.000000,-0.000000,-0.000000
201,14.440000,3,-0.000000,-0.000000,-0.000000
202,14.460000,3,-0.000000,-0.000000,-0.000000
203,14.480000,3,-0.000000,-0.000000,-0.000000
204,14.500000,3,-0.000000,-0.000000,-0.000000
205,14.520000,3,-0.000000,-0.000000,-0.000000
206,14.540000,3,-0.000000,-0.000000,-0.000000
207,14.560000,3,-0.000000,-0.000000,-0.000000
208,14.580000,3,-0.000000,-0.000000,-0.000000
209,14.600000,3,-0.000000,-0.000000,-0.000000
210,14.620000,3,-0.000000,-0.000000,-0.000000
211,14.640000,3,-0.000000,-0.000000,-0.000000
212,14.660000,3,-0.000000,-0.000000,-0.000000
213,14.680000,3,-0.000000,-0.000000,-0.000000
214,14.700000,3,-0.000000,-0.000000,-0.000000
215,14.720000,3,-0.000000,-0.000000,-0.000000
216,14.740000,3,-0.000000,-0.000000,-0.000000
217,14.760000,3,-0.000000,-0.000000,-0.000000
218,14.780000,3,-0.000000,-0.000000,-0.000000
219,14.800000,3,-0.000000,-0.000000,-0.000000
220,14.820000,3,-0.000000,-0.000000,-0.000000
221,14.840000,3,-0.000000,-0.000000,-0.000000
222,14.860000,3,-0.000000,-0.000000,-0.000000
223,14.880000,3,-0.000000,-0.000000,-0.000000
224,14.900000,3,-0.000000,-0.000000,-0.000000
225,14.920000,3,-0.000000,-0.000000,-0.000000
226,14.940000,3,-0.000000,-0.000000,-0.000000
227,14.960000,3,-0.000000,-0.000000,-0.000000
228,14.980000,3,-0.000000,-0.000000,-0.000000
229,15.000000,3,-0.000000,-0.000000,-0.000000
230,15.020000,3,-0.000000,-0.000000,-0.000000
231,15.040000,3,-0.000000,-0.000000,-0.000000
232,15.060000,3,-0.000000,-0.000000,-0.000000
233,15.080000,3,-0.000000,-0.000000,-0.000000
234,15.100000,3,-0.000000,-0.000000,-0.000000
235,15.120000,3,-0.000000,-0.000000,-0.000000
236,15.140000,3,-0.000000,-0.000000,-0.000000
237,15.160000,3,-0.000000,-0.000000,-0.000000
238,15.180000,3,-0.000000,-0.000000,-0.000000
239,15.200000,3,-0.000000,-0.000000,-0.000000
240,15.220000,3,-0.000000,-0.000000,-0.000000
241,15.240000,3,-0.000000,-0.000000,-0.000000
242,15.260000,3,-0.000000,-0.000000,-0.000000
243,15.280000,3,-0.000000,-0.000000,-0.000000
244,15.300000,3,-0.000000,-0.000000,-0.000000
245,15.320000,3,-0.000000,-0.000000,-0.000000
246,15.340000,3,-0.000000,-0.000000,-0.000000
247,15.360000,3,-0.000000,-0.000000,-0.000000
248,15.380000,3,-0.000000,-0.000000,-0.000000
249,15.400000,3,-0.000000,-0.000000,-0.000000
250,15.420000,3,-0.000000,-0.000000,-0.000000
251,15.440000,3,-0.000000,-0.000000,-0.000000
252,15.460000,3,-0.000000,-0.000000,-0.000000
253,15.480000,3,-0.000000,-0.000000,-0.000000
254,15.500000,3,-0.000000,-0.000000,-0.000000
255,15.520000,3,-0.000000,-0.000000,-0.000000
256,15.540000,3,-0.000000,-0.000000,-0.000000
257,15.560000,3,-0.000000,-0.000000,-0.000000
258,15.580000,3,-0.000000,-0.000000,-0.000000
259,15.600000,3,-0.000000,-0.000000,-0.000000
260,15.620000,3,-0.000000,-0.000000,-0.000000
261,15.640000,3,-0.000000,-0.000000,-0.000000
262,15.660000,3,-0.000000,-0.000000,-0.000000
263,15.680000,3,-0.000000,-0.000000,-0.000000
264,15.700000,3,-0.000000,-0.000000,-0.000000
265,15.720000,3,-0.000000,-0.000000,-0.000000
