inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015
690,11.900000,-0.340806,1.683092,-0.874659,0.583876,1.005875,-1.439031,0.278397,1.060931,0.115870,-1.429268,1.167852,0.404501,3.042431,1.703980,1.713193,1.805823
691,11.920000,-0.342483,1.591249,-0.779400,0.445880,0.885253,-1.350216,0.248097,1.005220,-0.050817,-1.260775,0.933370,0.102251,2.816395,1.612003,1.722241,1.538780
692,11.940000,-0.269076,1.564849,-0.765750,0.409084,0.899822,-1.248181,0.200948,0.816043,-0.305704,-1.273008,0.913563,0.039190,2.554042,1.612737,1.640905,1.438033
693,11.960000,-0.249719,1.636603,-0.652561,0.308606,0.893001,-1.194853,0.260845,0.841689,-0.261514,-1.348443,0.967661,0.162629,2.557837,1.743645,1.770933,1.673238
694,11.980000,-0.256075,1.602839,-0.648440,0.252955,0.822781,-1.169649,0.289026,0.804661,-0.270174,-1.451548,0.968248,0.152887,2.629430,1.812890,1.892812,1.796060
695,12.000000,-0.300513,1.611991,-0.614401,0.193572,0.814808,-1.160225,0.355589,0.863230,-0.090729,-1.570231,1.019917,0.290904,2.788348,1.911335,2.100075,2.007433
696,12.020000,-0.321791,1.533104,-0.644582,0.131718,0.774026,-1.152919,0.355501,0.916717,-0.100252,-1.556750,1.068260,0.252356,2.971442,2.013253,2.302960,2.144812
697,12.040000,-0.388280,1.474321,-0.667631,0.073029,0.668628,-1.205664,0.391190,0.950491,-0.054528,-1.599557,0.919569,0.094429,2.965081,1.968404,2.398429,2.007799
698,12.060000,-0.361903,1.469419,-0.630715,0.078215,0.713952,-1.162186,0.415437,0.957925,0.104427,-1.743913,1.000560,0.230108,2.983624,2.044829,2.405087,2.072289
699,12.080000,-0.369427,1.317963,-0.695095,0.078328,0.598533,-1.194275,0.349366,0.922883,0.048216,-1.764404,0.898333,0.034287,2.859805,1.986129,2.243525,1.936102
700,12.100000,-0.368941,1.408143,-0.565764,0.055112,0.634549,-1.116009,0.363422,0.909903,0.224180,-1.901934,0.911416,0.172248,2.877796,1.992909,2.142835,1.978276
701,12.120000,-0.380305,1.376434,-0.494080,0.006642,0.582606,-1.101385,0.335976,0.902966,0.212845,-1.906072,0.888565,0.125690,2.941119,2.032555,2.090580,1.963121
702,12.140000,-0.392751,1.400411,-0.477861,0.042313,0.586735,-1.096420,0.310595,0.860343,0.184233,-1.987817,0.905990,0.167632,3.090482,2.092136,2.111214,2.095158
703,12.160000,-0.412382,1.401139,-0.385075,-0.001172,0.577693,-1.081235,0.299366,0.897257,0.172073,-1.990425,0.949062,0.244451,3.305338,2.191202,2.277475,2.230335
704,12.180000,-0.453054,1.375832,-0.371304,-0.032860,0.520625,-1.101977,0.241887,0.896469,0.039249,-1.963154,0.923464,0.210310,3.409610,2.239772,2.449579,2.231236
705,12.200000,-0.441918,1.358269,-0.481068,0.007203,0.544369,-1.062280,0.241091,0.866232,0.037703,-2.017310,0.973665,0.257919,3.429481,2.295460,2.514284,2.346142
706,12.220000,-0.451028,1.298100,-0.489316,-0.030723,0.498384,-1.035705,0.226416,0.897871,0.007932,-1.991349,1.004146,0.276161,3.347226,2.303635,2.593055,2.379587
707,12.240000,-0.482172,1.322839,-0.528063,-0.075796,0.500463,-1.045507,0.251878,0.930324,-0.011396,-1.953625,1.007264,0.215853,3.375005,2.285552,2.708878,2.425712
